cert,certNumber,lab,shape,carats,color,clarity,cut,polish,symmetry,flourescence,length,width,depth,cost,depthper,tableper
1133458477,1133458477,GIA,Round,0.71,H,SI1,Very Good,Very Good,Excellent,None,5.6,5.64,3.57,2098.76,0.636,0.58
1136096928,1136096928,GIA,Round,0.58,G,VS2,Very Good,Very Good,Very Good,Faint,5.29,5.32,3.33,1763.2,0.627,0.55
1136250010,1136250010,GIA,Round,1.51,G,VS1,Very Good,Excellent,Excellent,None,7.44,7.47,4.45,15007.1652,0.596,0.59
1139539491,1139539491,GIA,Round,1.51,G,SI1,Excellent,Excellent,Excellent,Faint,7.32,7.36,4.58,11619.45,0.624,0.57
1145375884,1145375884,GIA,Round,0.8,E,VS2,Very Good,Excellent,Very Good,Faint,5.79,5.85,3.75,2579.2,0.644,0.55
1146703717,1146703717,GIA,Oval,0.55,D,VS2,Excellent,Very Good,Very Good,Medium,6.2,4.59,2.92,1251.25,0.636,0.58
1153149731,1153149731,GIA,Round,0.6,H,VS2,Excellent,Excellent,Excellent,None,5.35,5.39,3.34,1797.6,0.621,0.59
1165113731,1165113731,GIA,Round,1.01,H,VS2,Excellent,Excellent,Very Good,None,6.28,6.31,4.02,5677.21,0.629,0.57
1168611794,1168611794,GIA,Round,1.05,H,SI2,Excellent,Excellent,Excellent,None,6.49,6.53,4.08,5115.6,0.627,0.56
1172509984,1172509984,GIA,Round,1.01,E,SI1,Very Good,Excellent,Excellent,None,6.38,6.41,3.99,6625.6,0.624,0.59
1172856764,1172856764,GIA,Round,0.92,D,SI1,Excellent,Excellent,Excellent,Faint,6.25,6.27,3.85,4664.4,0.615,0.56
1176675697,1176675697,GIA,Round,0.81,G,SI2,Very Good,Excellent,Very Good,Strong,5.83,5.89,3.74,2080.08,0.639,0.57
1182937949,1182937949,GIA,Oval,1.5,E,VS1,Very Good,Excellent,Very Good,Medium,8.75,6.4,4.12,10530,0.644,0.59
1186017764,1186017764,GIA,Round,0.73,E,SI1,Very Good,Very Good,Very Good,None,5.75,5.79,3.56,2463.75,0.617,0.56
1186061698,1186061698,GIA,Oval,1.57,E,SI1,Very Good,Very Good,Very Good,None,9.19,6.3,4.09,10107.66,0.65,0.64
1186585901,1186585901,GIA,Round,0.5,F,SI1,Excellent,Excellent,Very Good,None,5.07,5.08,3.18,957,0.627,0.56
1189213805,1189213805,GIA,Round,0.61,D,VS2,Excellent,Excellent,Excellent,None,5.41,5.44,3.35,2277.0263,0.617,0.58
1189244215,1189244215,GIA,Round,1.34,E,VS1,Excellent,Excellent,Excellent,None,7.02,7.03,4.42,11470.4,0.628,0.57
1192341171,1192341171,GIA,Round,1.51,G,VS1,Excellent,Excellent,Very Good,Faint,7.33,7.37,4.49,12012.05,0.611,0.59
1192448371,1192448371,GIA,Round,1.4,G,SI1,Excellent,Excellent,Excellent,Medium,7.11,7.17,4.47,8288,0.626,0.57
1192506757,1192506757,GIA,Round,1.05,E,SI1,Excellent,Excellent,Excellent,None,6.47,6.52,4.04,6096.3,0.622,0.57
1192513126,1192513126,GIA,Round,0.59,H,SI1,Excellent,Excellent,Excellent,None,5.37,5.41,3.34,1371.75,0.62,0.55
1192531253,1192531253,GIA,Round,0.54,F,VS1,Excellent,Excellent,Excellent,None,5.3,5.33,3.19,1457.2224,0.6,0.59
1192566631,1192566631,GIA,Round,0.75,D,VS1,Excellent,Excellent,Excellent,Strong,5.74,5.79,3.63,2461.68,0.629,0.56
